size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,96.04494989616796,0.17058679313917466,0.29852688799355565,0
4096,4K,1024,float,sum,N/A,91.50165133178234,0.35811375557785485,0.626699072261246,0
8192,8K,2048,float,sum,N/A,2504.6964015928097,0.02616524699693094,0.04578918224462915,0
16384,16K,4096,float,sum,N/A,91.1093971808441,1.438622184491394,2.5175888228599397,0
32768,32K,8192,float,sum,N/A,123.75870428513736,2.1181863652679,3.7068261392188253,0
65536,64K,16384,float,sum,N/A,2998.943293641787,0.17482424596409335,0.30594243043716335,0
131072,128K,32768,float,sum,N/A,148.48895225441083,7.061643200252646,12.35787560044213,0
262144,256K,65536,float,sum,N/A,301.308099005837,6.960158080448324,12.180276640784568,0
524288,512K,131072,float,sum,N/A,293.32835401874036,14.299006361083087,25.023261131895403,0
1048576,1M,262144,float,sum,N/A,313.82279557874426,26.730397275729878,46.77819523252729,0
2097152,2M,524288,float,sum,N/A,2279.1692506871186,7.361110191769235,12.881942835596162,0
4194304,4M,1048576,float,sum,N/A,355.1354951923713,94.4834646331933,165.34606310808826,0
8388608,8M,2097152,float,sum,N/A,427.1902493201196,157.09362305624924,274.91384034843617,0
16777216,16M,4194304,float,sum,N/A,1479.0095970965922,90.7483820682973,158.80966861952027,0
33554432,32M,8388608,float,sum,N/A,640.2683487976901,419.2546086403833,733.6955651206708,0
67108864,64M,16777216,float,sum,N/A,888.9269010978751,603.9539486733206,1056.919410178311,0
134217728,128M,33554432,float,sum,N/A,1587.4865479418077,676.3785339737947,1183.6624344541406,0
268435456,256M,67108864,float,sum,N/A,3125.985550286714,686.9781108882713,1202.2116940544747,0
536870912,512M,134217728,float,sum,N/A,6134.683648997452,700.1122701252731,1225.1964727192278,0
1073741824,1G,268435456,float,sum,N/A,12116.025148134213,708.9729913050562,1240.7027347838484,0
2147483648,2G,536870912,float,sum,N/A,24040.117449476384,714.633329895574,1250.6083273172544,0
4294967296,4G,1073741824,float,sum,N/A,47973.089102015365,716.2294321913187,1253.4015063348077,0
8589934592,8G,2147483648,float,sum,N/A,95917.38385061035,716.444443929261,1253.7777768762066,0
