size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,67.82860000384971,0.2415500246071731,0.2415500246071731,0
4096,4K,1024,float,sum,N/A,57.097549142781645,0.5738950356355633,0.5738950356355633,0
8192,8K,2048,float,sum,N/A,55.01635023392737,1.1912095171952246,1.1912095171952246,0
16384,16K,4096,float,sum,N/A,56.532952294219285,2.3185061929518693,2.3185061929518693,0
32768,32K,8192,float,sum,N/A,141.74889802234247,1.8493547650626592,1.8493547650626592,0
65536,64K,16384,float,sum,N/A,123.28504963079467,4.252648650992968,4.252648650992968,0
131072,128K,32768,float,sum,N/A,70.3512501786463,14.904866613419104,14.904866613419104,0
262144,256K,65536,float,sum,N/A,74.56980383722112,28.123340710106817,28.123340710106817,0
524288,512K,131072,float,sum,N/A,85.21144918631762,49.22230568839426,49.22230568839426,0
1048576,1M,262144,float,sum,N/A,86.40669693704695,97.08284539694489,97.08284539694489,0
2097152,2M,524288,float,sum,N/A,100.01014597946778,167.75513959798025,167.75513959798025,0
4194304,4M,1048576,float,sum,N/A,112.28664516238496,298.8283419766863,298.8283419766863,0
8388608,8M,2097152,float,sum,N/A,153.97350070998073,435.8468417653502,435.8468417653502,0
16777216,16M,4194304,float,sum,N/A,212.98129868227988,630.1855084479629,630.1855084479629,0
33554432,32M,8388608,float,sum,N/A,340.51505208481103,788.3218505510929,788.3218505510929,0
67108864,64M,16777216,float,sum,N/A,599.8598484438844,894.9939113156414,894.9939113156414,0
134217728,128M,33554432,float,sum,N/A,2129.32285212446,504.26445333487607,504.26445333487607,0
268435456,256M,67108864,float,sum,N/A,2109.9138481076807,1017.806319403048,1017.806319403048,0
536870912,512M,134217728,float,sum,N/A,3998.4012008062564,1074.1711700001347,1074.1711700001347,0
1073741824,1G,268435456,float,sum,N/A,7805.786399694625,1100.4572956718432,1100.4572956718432,0
2147483648,2G,536870912,float,sum,N/A,14631.420897785574,1174.1764046033375,1174.1764046033375,0
4294967296,4G,1073741824,float,sum,N/A,29041.0301022348,1183.1446146035953,1183.1446146035953,0
8589934592,8G,2147483648,float,sum,N/A,57553.42754418962,1194.0118889224639,1194.0118889224639,0
