size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,71.4057357981801,0.22944935468920094,0.40153637070610165,0
4096,4K,1024,float,sum,N/A,68.94189864397049,0.47529877541116744,0.8317728569695431,0
8192,8K,2048,float,sum,N/A,67.79625546187162,0.9666610575101336,1.6916568506427339,0
16384,16K,4096,float,sum,N/A,68.96976847201586,1.9004268522835743,3.325746991496255,0
32768,32K,8192,float,sum,N/A,68.73880047351122,3.8136248842605025,6.6738435474558795,0
65536,64K,16384,float,sum,N/A,70.19646000117064,7.468866663522016,13.070516661163529,0
131072,128K,32768,float,sum,N/A,69.0380111336708,15.188386553745822,26.579676469055187,0
262144,256K,65536,float,sum,N/A,73.5115259885788,28.528206587982222,49.92436152896889,0
524288,512K,131072,float,sum,N/A,75.1440180465579,55.81687150933669,97.67952514133921,0
1048576,1M,262144,float,sum,N/A,80.87679743766785,103.72082310090408,181.51144042658214,0
2097152,2M,524288,float,sum,N/A,93.75193621963263,178.95327474299862,313.16823080024756,0
4194304,4M,1048576,float,sum,N/A,118.51242743432522,283.1300710517849,495.4776243406236,0
8388608,8M,2097152,float,sum,N/A,163.28103374689817,411.00219945952455,719.253849054168,0
16777216,16M,4194304,float,sum,N/A,243.87037847191095,550.3650293283127,963.1388013245473,0
33554432,32M,8388608,float,sum,N/A,399.63528979569674,671.7010805958371,1175.476891042715,0
67108864,64M,16777216,float,sum,N/A,669.7676610201597,801.5778354874026,1402.7612121029545,0
134217728,128M,33554432,float,sum,N/A,1219.1605055704713,880.7222831562881,1541.263995523504,0
268435456,256M,67108864,float,sum,N/A,2313.9353841543198,928.0655210624417,1624.114661859273,0
536870912,512M,134217728,float,sum,N/A,4500.346281565726,954.3637372068463,1670.136540111981,0
1073741824,1G,268435456,float,sum,N/A,8877.503336407244,967.607024913423,1693.3122935984902,0
2147483648,2G,536870912,float,sum,N/A,17627.772642299533,974.5910349884622,1705.5343112298087,0
4294967296,4G,1073741824,float,sum,N/A,35070.97277324647,979.7201403609475,1714.510245631658,0
8589934592,8G,2147483648,float,sum,N/A,69845.95784451813,983.8719212495339,1721.7758621866842,0
