size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,38.29430788755417,0.4278442646909641,0.4278442646909641,0
4096,4K,1024,float,sum,N/A,38.53398375213146,0.8503662691814852,0.8503662691814852,0
8192,8K,2048,float,sum,N/A,38.836803287267685,1.6874715335153607,1.6874715335153607,0
16384,16K,4096,float,sum,N/A,39.4897535443306,3.319139478874199,3.319139478874199,0
32768,32K,8192,float,sum,N/A,39.307307451963425,6.6690907363817855,6.6690907363817855,0
65536,64K,16384,float,sum,N/A,39.6916875615716,13.209012571881706,13.209012571881706,0
131072,128K,32768,float,sum,N/A,40.95600452274084,25.60249741689958,25.60249741689958,0
262144,256K,65536,float,sum,N/A,45.43932154774666,46.15280177095862,46.15280177095862,0
524288,512K,131072,float,sum,N/A,48.01987670361996,87.34516387635402,87.34516387635402,0
1048576,1M,262144,float,sum,N/A,50.764926709234715,165.2441664704308,165.2441664704308,0
2097152,2M,524288,float,sum,N/A,57.88183771073818,289.8528565012632,289.8528565012632,0
4194304,4M,1048576,float,sum,N/A,70.36146707832813,476.8864748463299,476.8864748463299,0
8388608,8M,2097152,float,sum,N/A,97.20884263515472,690.3576071970501,690.3576071970501,0
16777216,16M,4194304,float,sum,N/A,156.02447092533112,860.2351105823188,860.2351105823188,0
33554432,32M,8388608,float,sum,N/A,274.6285870671272,977.4490662706812,977.4490662706812,0
67108864,64M,16777216,float,sum,N/A,508.0228904262185,1056.7848853219562,1056.7848853219562,0
134217728,128M,33554432,float,sum,N/A,943.3534927666187,1138.217892055485,1138.217892055485,0
268435456,256M,67108864,float,sum,N/A,1767.1425826847553,1215.22941557857,1215.22941557857,0
536870912,512M,134217728,float,sum,N/A,3585.230326279998,1197.9613316660798,1197.9613316660798,0
1073741824,1G,268435456,float,sum,N/A,6693.911319598556,1283.2459502190047,1283.2459502190047,0
2147483648,2G,536870912,float,sum,N/A,13210.189179517329,1300.5013743964955,1300.5013743964955,0
4294967296,4G,1073741824,float,sum,N/A,26199.909509159625,1311.444925257763,1311.444925257763,0
8589934592,8G,2147483648,float,sum,N/A,52188.74604906887,1316.74895333543,1316.74895333543,0
