size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,36.185141652822495,0.4527825303876356,0.6791737955814534,0
4096,4K,1024,float,sum,N/A,34.0624013915658,0.9619991151919692,1.4429986727879538,0
8192,8K,2048,float,sum,N/A,33.75769592821598,1.9413647228578326,2.912047084286749,0
16384,16K,4096,float,sum,N/A,34.01525318622589,3.8533301305273304,5.779995195790995,0
32768,32K,8192,float,sum,N/A,34.42519810050726,7.614887189164419,11.422330783746627,0
65536,64K,16384,float,sum,N/A,34.11527723073959,15.368129546594743,23.052194319892113,0
131072,128K,32768,float,sum,N/A,35.78253090381622,29.304131751288978,43.956197626933466,0
262144,256K,65536,float,sum,N/A,37.315511144697666,56.20054330404085,84.30081495606127,0
524288,512K,131072,float,sum,N/A,51.12260114401579,82.04402565871726,123.06603848807589,0
1048576,1M,262144,float,sum,N/A,57.13673308491707,146.8163744597155,220.22456168957325,0
2097152,2M,524288,float,sum,N/A,70.29431872069836,238.6710093409,358.00651401135,0
4194304,4M,1048576,float,sum,N/A,95.18815204501152,352.5063915951762,528.7595873927643,0
8388608,8M,2097152,float,sum,N/A,137.25156895816326,488.94788241332225,733.4218236199833,0
16777216,16M,4194304,float,sum,N/A,197.64469470828772,679.0859132247274,1018.6288698370911,0
33554432,32M,8388608,float,sum,N/A,529.886269941926,506.59069922574093,759.8860488386114,0
67108864,64M,16777216,float,sum,N/A,684.2265836894512,784.6390724913265,1176.9586087369898,0
134217728,128M,33554432,float,sum,N/A,1314.7475896403193,816.6904677830577,1225.0357016745866,0
268435456,256M,67108864,float,sum,N/A,2555.654663592577,840.2871008327877,1260.4306512491817,0
536870912,512M,134217728,float,sum,N/A,5018.130736425519,855.8898764481696,1283.8348146722544,0
1073741824,1G,268435456,float,sum,N/A,9903.624537400901,867.3526101035263,1301.0289151552895,0
2147483648,2G,536870912,float,sum,N/A,19647.981831803918,874.3834013624331,1311.5751020436496,0
4294967296,4G,1073741824,float,sum,N/A,39182.15981684625,876.9230315177045,1315.3845472765568,0
8589934592,8G,2147483648,float,sum,N/A,78195.2753663063,878.8187830285543,1318.2281745428315,0
