size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,46.50529008358717,0.3523040060722534,0.5284560091083801,0
4096,4K,1024,float,sum,N/A,42.10225306451321,0.7782956401356871,1.1674434602035306,0
8192,8K,2048,float,sum,N/A,41.72883927822113,1.5705205592479579,2.3557808388719366,0
16384,16K,4096,float,sum,N/A,45.661162585020065,2.870535759047897,4.305803638571845,0
32768,32K,8192,float,sum,N/A,51.02811846882105,5.137246049159621,7.70586907373943,0
65536,64K,16384,float,sum,N/A,63.38621024042368,8.271325861119909,12.406988791679863,0
131072,128K,32768,float,sum,N/A,69.1510271281004,15.163563630913847,22.74534544637077,0
262144,256K,65536,float,sum,N/A,93.76078378409147,22.36704851816551,33.55057277724826,0
524288,512K,131072,float,sum,N/A,109.81305968016386,38.19494705107138,57.29242057660707,0
1048576,1M,262144,float,sum,N/A,126.07094831764698,66.5387871824693,99.80818077370395,0
2097152,2M,524288,float,sum,N/A,124.45705942809582,134.80324922583372,202.2048738387506,0
4194304,4M,1048576,float,sum,N/A,163.4923042729497,205.23554395551866,307.853315933278,0
8388608,8M,2097152,float,sum,N/A,251.1043567210436,267.25487712087954,400.8823156813193,0
16777216,16M,4194304,float,sum,N/A,429.83966413885355,312.2506813532287,468.37602202984306,0
33554432,32M,8388608,float,sum,N/A,800.5313575267792,335.32160042965006,502.9824006444751,0
67108864,64M,16777216,float,sum,N/A,1596.3266603648663,336.3164478361149,504.47467175417233,0
134217728,128M,33554432,float,sum,N/A,2876.370307058096,373.2974928037709,559.9462392056564,0
268435456,256M,67108864,float,sum,N/A,5499.130999669433,390.51327348431795,585.7699102264769,0
536870912,512M,134217728,float,sum,N/A,10894.953366369009,394.2162165886714,591.3243248830071,0
1073741824,1G,268435456,float,sum,N/A,22005.36031741649,390.35646170271343,585.5346925540701,0
2147483648,2G,536870912,float,sum,N/A,43314.80395048857,396.6281182673163,594.9421774009745,0
4294967296,4G,1073741824,float,sum,N/A,87074.04977176338,394.6036558315939,591.9054837473909,0
