size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,48.75003360211849,0.33608181962951533,0.33608181962951533,0
4096,4K,1024,float,sum,N/A,53.77244669944048,0.6093827231473357,0.6093827231473357,0
8192,8K,2048,float,sum,N/A,51.97739228606224,1.2608558667067549,1.2608558667067549,0
16384,16K,4096,float,sum,N/A,52.987970411777496,2.473618049180215,2.473618049180215,0
32768,32K,8192,float,sum,N/A,55.95949478447437,4.684531213329151,4.684531213329151,0
65536,64K,16384,float,sum,N/A,63.25829308480024,8.288051644029839,8.288051644029839,0
131072,128K,32768,float,sum,N/A,75.01996587961912,13.977292414163434,13.977292414163434,0
262144,256K,65536,float,sum,N/A,101.13753378391266,20.735645032443745,20.735645032443745,0
524288,512K,131072,float,sum,N/A,101.42989922314882,41.35175162475914,41.35175162475914,0
1048576,1M,262144,float,sum,N/A,113.43734804540873,73.94926049083992,73.94926049083992,0
2097152,2M,524288,float,sum,N/A,142.23167672753334,117.95695857638898,117.95695857638898,0
4194304,4M,1048576,float,sum,N/A,220.44552024453878,152.2119023456602,152.2119023456602,0
8388608,8M,2097152,float,sum,N/A,393.4458363801241,170.56696956671664,170.56696956671664,0
16777216,16M,4194304,float,sum,N/A,759.5965405926108,176.69607591325783,176.69607591325783,0
33554432,32M,8388608,float,sum,N/A,1443.2028401643038,185.99981134283212,185.99981134283212,0
67108864,64M,16777216,float,sum,N/A,2808.9995961636305,191.12530764804214,191.12530764804214,0
134217728,128M,33554432,float,sum,N/A,5617.861961945891,191.12997636347794,191.12997636347794,0
268435456,256M,67108864,float,sum,N/A,11071.503721177578,193.96494840102815,193.96494840102815,0
536870912,512M,134217728,float,sum,N/A,22169.158910401165,193.73614097668442,193.73614097668442,0
1073741824,1G,268435456,float,sum,N/A,44118.85845474899,194.69983795728453,194.69983795728453,0
2147483648,2G,536870912,float,sum,N/A,88154.48805689812,194.88365893420522,194.88365893420522,0
4294967296,4G,1073741824,float,sum,N/A,175803.29810734838,195.44421940832635,195.44421940832635,0
