size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,51.848054863512516,0.31600028280964604,0.5266671380160767,0
4096,4K,1024,float,sum,N/A,45.52330356091261,0.719807163295051,1.1996786054917516,0
8192,8K,2048,float,sum,N/A,43.47413778305054,1.5074709549628107,2.5124515916046843,0
16384,16K,4096,float,sum,N/A,43.87241788208485,2.9875718350486173,4.979286391747696,0
32768,32K,8192,float,sum,N/A,51.02518480271101,5.1375414124138965,8.562569020689827,0
65536,64K,16384,float,sum,N/A,59.35896188020706,8.832499481006273,14.720832468343788,0
131072,128K,32768,float,sum,N/A,74.89330600947142,14.000930869140578,23.334884781900964,0
262144,256K,65536,float,sum,N/A,88.81369139999151,23.612935876688496,39.35489312781416,0
524288,512K,131072,float,sum,N/A,79.33017332106829,52.8714841328361,88.1191402213935,0
1048576,1M,262144,float,sum,N/A,91.14742279052734,92.03340855043683,153.38901425072805,0
2097152,2M,524288,float,sum,N/A,106.09426535665989,158.1349938528684,263.55832308811404,0
4194304,4M,1048576,float,sum,N/A,146.0846047848463,229.69177381435253,382.8196230239209,0
8388608,8M,2097152,float,sum,N/A,217.88431331515312,308.00227413770773,513.3371235628462,0
16777216,16M,4194304,float,sum,N/A,379.3605836108327,353.7998774740587,589.6664624567644,0
33554432,32M,8388608,float,sum,N/A,611.3247480243444,439.1045133826485,731.8408556377475,0
67108864,64M,16777216,float,sum,N/A,1117.4850398674607,480.4278293190176,800.7130488650292,0
134217728,128M,33554432,float,sum,N/A,2148.6464189365506,499.7294178031567,832.8823630052611,0
268435456,256M,67108864,float,sum,N/A,4095.265408977866,524.382044517107,873.9700741951783,0
536870912,512M,134217728,float,sum,N/A,5917.923711240292,725.7557727285828,1209.592954547638,0
1073741824,1G,268435456,float,sum,N/A,11534.277349710464,744.7310595679083,1241.2184326131805,0
2147483648,2G,536870912,float,sum,N/A,22918.227408081293,749.6159662828956,1249.359943804826,0
4294967296,4G,1073741824,float,sum,N/A,45530.18270526081,754.6584776614543,1257.7641294357572,0
