size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,46.412600204348564,0.353007586902337,0.6177632770790897,0
4096,4K,1024,float,sum,N/A,42.87308547645807,0.7643023504336572,1.3375291132589002,0
8192,8K,2048,float,sum,N/A,41.63456615060568,1.5740766881762407,2.754634204308421,0
16384,16K,4096,float,sum,N/A,42.334781028330326,3.0960830980154816,5.418145421527093,0
32768,32K,8192,float,sum,N/A,47.011044807732105,5.576221525646332,9.758387669881081,0
65536,64K,16384,float,sum,N/A,52.37306468188763,10.01064198141753,17.518623467480676,0
131072,128K,32768,float,sum,N/A,66.91876333206892,15.669386996837996,27.421427244466493,0
262144,256K,65536,float,sum,N/A,86.2443121150136,24.316409379012523,42.553716413271914,0
524288,512K,131072,float,sum,N/A,129.29593212902546,32.4395665891056,56.769241530934806,0
1048576,1M,262144,float,sum,N/A,106.05079587548971,79.09990614166396,138.42483574791194,0
2097152,2M,524288,float,sum,N/A,237.56567388772964,70.62138113408037,123.58741698464064,0
4194304,4M,1048576,float,sum,N/A,136.64369471371174,245.5615099569825,429.73264242471936,0
8388608,8M,2097152,float,sum,N/A,194.48832608759403,345.0534299409589,603.8435023966781,0
16777216,16M,4194304,float,sum,N/A,266.81607123464346,503.03464622251414,880.3106308893997,0
33554432,32M,8388608,float,sum,N/A,464.4275177270174,577.9921424849373,1011.4862493486403,0
67108864,64M,16777216,float,sum,N/A,947.3363403230906,566.7162644862746,991.7534628509804,0
134217728,128M,33554432,float,sum,N/A,1573.4204091131687,682.4252550564004,1194.2441963487006,0
268435456,256M,67108864,float,sum,N/A,3327.2036584094167,645.431980868467,1129.5059665198173,0
536870912,512M,134217728,float,sum,N/A,6360.521563328803,675.253947846411,1181.6944087312193,0
1073741824,1G,268435456,float,sum,N/A,12815.815885551274,670.2604554177788,1172.9557969811128,0
2147483648,2G,536870912,float,sum,N/A,25497.40949179977,673.7888093896449,1179.1304164318785,0
4294967296,4G,1073741824,float,sum,N/A,51035.11577472091,673.2567928261528,1178.1993874457676,0
