size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,46.818493865430355,0.3499471821347408,0.3499471821347408,0
4096,4K,1024,float,sum,N/A,44.950470328330994,0.7289801365959739,0.7289801365959739,0
8192,8K,2048,float,sum,N/A,46.279607340693474,1.4160880734693368,1.4160880734693368,0
16384,16K,4096,float,sum,N/A,47.42390010505915,2.7638384803787432,2.7638384803787432,0
32768,32K,8192,float,sum,N/A,51.212054677307606,5.1187948160212695,5.1187948160212695,0
65536,64K,16384,float,sum,N/A,57.569844648242,9.106990008457668,9.106990008457668,0
131072,128K,32768,float,sum,N/A,67.72689521312714,15.482416500863902,15.482416500863902,0
262144,256K,65536,float,sum,N/A,91.58200118690729,22.89917202966528,22.89917202966528,0
524288,512K,131072,float,sum,N/A,91.31473489105701,45.932389827381215,45.932389827381215,0
1048576,1M,262144,float,sum,N/A,107.536930590868,78.0067643172285,78.0067643172285,0
2097152,2M,524288,float,sum,N/A,141.19429979473352,118.82360707472259,118.82360707472259,0
4194304,4M,1048576,float,sum,N/A,215.50103556364775,155.70427266039644,155.70427266039644,0
8388608,8M,2097152,float,sum,N/A,378.3021355047822,177.3948854675489,177.3948854675489,0
16777216,16M,4194304,float,sum,N/A,725.5583303049207,184.98544140978177,184.98544140978177,0
33554432,32M,8388608,float,sum,N/A,1381.2640216201544,194.34043875633458,194.34043875633458,0
67108864,64M,16777216,float,sum,N/A,2689.177659340203,199.64129559655896,199.64129559655896,0
134217728,128M,33554432,float,sum,N/A,5362.106184475124,200.24628141620894,200.24628141620894,0
268435456,256M,67108864,float,sum,N/A,10673.890053294599,201.19034740639458,201.19034740639458,0
536870912,512M,134217728,float,sum,N/A,21322.209993377328,201.43161976802665,201.43161976802665,0
1073741824,1G,268435456,float,sum,N/A,42740.45363999903,200.97902245850366,200.97902245850366,0
2147483648,2G,536870912,float,sum,N/A,84509.14963614196,203.29004915998706,203.29004915998706,0
4294967296,4G,1073741824,float,sum,N/A,173412.683326751,198.1385542789741,198.1385542789741,0
