size_bytes,size_str,count_elements,type,redop,root,time_us,algbw_gbps,busbw_gbps,errors
2048,2K,512,float,sum,N/A,50.75202789157629,0.3228245388539318,0.5810841699370772,0
4096,4K,1024,float,sum,N/A,45.52323371171951,0.7198082677409667,1.2956548819337401,0
8192,8K,2048,float,sum,N/A,43.35686098784208,1.5115485417262398,2.7207873751072316,0
16384,16K,4096,float,sum,N/A,44.72138825803995,2.93085713805935,5.275542848506831,0
32768,32K,8192,float,sum,N/A,49.69241563230753,5.275332194347321,9.495597949825179,0
65536,64K,16384,float,sum,N/A,90.24529717862606,5.809588049361245,10.45725848885024,0
131072,128K,32768,float,sum,N/A,98.34393858909607,10.662334812328346,19.192202662191022,0
262144,256K,65536,float,sum,N/A,106.48772586137056,19.693837792443286,35.448908026397916,0
524288,512K,131072,float,sum,N/A,77.06836331635714,54.423161716602756,97.96169108988497,0
1048576,1M,262144,float,sum,N/A,123.62049892544746,67.8577426310095,122.1439367358171,0
2097152,2M,524288,float,sum,N/A,131.97700027376413,127.12227104115476,228.82008787407858,0
4194304,4M,1048576,float,sum,N/A,151.65265649557114,221.25845188198153,398.26521338756675,0
8388608,8M,2097152,float,sum,N/A,205.10279573500156,327.1962420575997,588.9532357036794,0
16777216,16M,4194304,float,sum,N/A,293.46365481615067,457.3572427021153,823.2430368638076,0
33554432,32M,8388608,float,sum,N/A,502.0270589739084,534.7031623129128,962.4656921632431,0
67108864,64M,16777216,float,sum,N/A,994.2852193489671,539.9566457917674,971.9219624251813,0
134217728,128M,33554432,float,sum,N/A,1682.5169557705522,638.1759306005046,1148.716675080908,0
268435456,256M,67108864,float,sum,N/A,3613.7762246653438,594.249204846343,1069.6485687234174,0
536870912,512M,134217728,float,sum,N/A,6827.659602276981,629.054104362153,1132.2973878518756,0
1073741824,1G,268435456,float,sum,N/A,13353.922846727073,643.2517763201931,1157.8531973763477,0
2147483648,2G,536870912,float,sum,N/A,26561.275287531316,646.8013677063451,1164.2424618714213,0
4294967296,4G,1073741824,float,sum,N/A,52952.888421714306,648.8737327104928,1167.972718878887,0
